id,course,url,date
id,course,url,date
0,"First & Second Semester M A Hindi Language &Literature (SDE2018 admission) and supplementary (SDE-2017 admission) Degree Examination, January/February 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/74927.pdf,27/10/2020
1,Second Semester B.Sc Electronics (Restructured) Degree Examination (2005 scheme) (Mercy chance- Up to 2008 Admn.& 2009 Admn Supplementary) held in November 2019,https://exams.keralauniversity.ac.in/Images/Result/2020/10/26730.pdf,27/10/2020
2,Second Semester BBA (Restructured) DegreeExamination (2007 scheme) (Mercy chance- Up to 2008 Admn.& Supplementary 2009) held in November 2019,https://exams.keralauniversity.ac.in/Images/Result/2020/10/69690.pdf,27/10/2020
3,"SEVENTH SEMESTER REGULAR (2013 SCHEME - 2016 ADMISSION CANDIDATES OF UNIVERSITY COLLEGE OF ENGINEERING, KARIAVATTOM) B.TECH DEGREE EXAMINATION, January 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/29705.pdf,27/10/2020
4,"FIRST SEMESTER B.Com (CBCS) DEGREE EXAMINATION,NOVEMBER 2019 (Regular 2019 Admission, Improvement  2018 Admission and Supplementary 2014, 2015, 2016 & 2017 Admission)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/40307.pdf,27/10/2020
5,"Releasing of Withheld results of Final Year B.A(Annual Scheme) Degree Examination, April 2020 (Supplementary & Part III Subsidiaries)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/66012.pdf,27/10/2020
6,"Fifth Semester BASLP(CBCSS Stream) Degree Examination, January 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/51263.pdf,27/10/2020
7,"Final Year B.A(Annual Scheme) Degree Supplementary & Part III Subsidiaries Degree, Examination April 2020 - Releasing of Withheld Results",https://exams.keralauniversity.ac.in/Images/Result/2020/10/22747.pdf,27/10/2020
8,"FOURTH SEMESTER B.Ed.(2015 SCHEME) ONLINE SPECIAL DEGREE EXAMINATION, OCTOBER 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/16577.pdf,27/10/2020
9,"PART III BCOM [ANNUAL SCHEME] PRIVATE & SUPPLEMENTARY DEGREE EXAMINATION, MARCH/APRIL 2020 - RELEASING OF WITHHELD RESULTS",https://exams.keralauniversity.ac.in/Images/Result/2020/10/23703.pdf,27/10/2020
10,"SECOND SEMESTER M.Sc CHEMISTRY DEGREE EXAMINATIONS,July 2019 (Mercy Chance)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/60909.pdf,27/10/2020
11,"TENTH SEMESTER INTEGRATED FIVE YEAR BA LLB /B.Com LLB /BBA LLB DEGREE EXAMINATION, APRIL 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/35153.pdf,27/10/2020
12,"FOURTH SEMESTER M Ed (TWO YEAR PROGRAMME  2015SCHEME) DEGREE EXAMINATION, MARCH 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/44815.pdf,27/10/2020
13,"FOURTH SEMESTER M Ed (TWO YEAR PROGRAMME  2018 SCHEME) DEGREE EXAMINATION, MARCH 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/52667.pdf,27/10/2020
14,"Career Related CBCSS Second Semester B.ScElectronics(340) (2010 & 2011 Admissions - Mercy Chance and 2012 Admission - Supplementary - (2010 & 2011 Scheme)) Degree Examination, November 2018",https://exams.keralauniversity.ac.in/Images/Result/2020/10/12020.pdf,27/10/2020
15,"FIRST SEMESTER B.Ed. DEGREE EXAMINATION , FEBRUARY 2020 (2013 & 2004 SCHEME - MERCY CHANCE)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/33855.pdf,27/10/2020
16,"First Year B.Pharm. (Supplementary) Degree Examination, February 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/69696.pdf,27/10/2020
17,"SIXTH SEMESTER MCA DEGREE (REGULAR & SUPPLEMENTARY)EXAMINATION, SEPTEMBER 2020 (2015 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/59272.pdf,27/10/2020
18,"THIRD SEMESTER MBA DEGREE EXAMINATIONS, DECEMBER 2019 REGULAR AND SUPPLEMENTARY (2014 & 2018 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/72472.pdf,27/10/2020
19,"First and Second Semester M.Sc computer Science (SDE- 2018 Admission -Regular & 2017 Admission-Supplementary) Degree Examination, January / February 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/58656.pdf,27/10/2020
20,"FIRST SEMESTER MBA DEGREE (REGULAR AND SUPPLEMENTARY) EXAMINATION, NOVEMBER 2019 (2014 & 2018 SCHEMES)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/92229.pdf,27/10/2020
21,"Third Semester B.Tech. (2013 Scheme  Candidates of University College of Engineering, Kariavattom)Degree Examination, April 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/55389.pdf,27/10/2020
22,"FINAL YEAR BBA (ANNUAL SCHEME - PRIVATE REGISTRATION) REGULAR AND SUPPLEMENTARY DEGREE EXAMINATION, MARCH 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/91475.pdf,27/10/2020
23,"FIFTH & SIXTH SEMESTER FDP IN B.A. SOCIOLOGY (SDE) UNDER CREDIT AND SEMESTER SYSTEM (C S S) DEGREE EXAMINATION, MARCH 2020 (2017 ADMISSION)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/92202.pdf,27/10/2020
24,FINAL YEAR B.A (ANNUAL SCHEME) DEGREE EXAMINATIONSAPRIL 2020 (PART  III SOCIOLOGY MAIN ONLY),https://exams.keralauniversity.ac.in/Images/Result/2020/10/19585.pdf,27/10/2020
25,"THIRD SEMESTER FDP IN B.A.POLITICAL SCIENCE (SDE) UNDER CREDIT AND SEMESTER SYSTEM (C S S) DEGREE EXAMINATION, SEPTEMBER 2019 (2017 ADMISSION)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/84623.pdf,27/10/2020
26,"FINAL YEAR B.A (ANNUAL SCHEME) DEGREE EXAMINATIONS,APRIL 2020 (PART  III POLITICAL SCIENCE MAIN ONLY)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/87777.pdf,27/10/2020
27,"FIRST DEGREE PROGRAMME UNDER CSS OF FIFTH & SIXTH SEMESTER B.Sc COMPUTER SCIENCE / BCA (SDE) DEGREE EXAMINATIONS, MARCH 2020 (2017 ADMISSION)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/27314.pdf,27/10/2020
28,Second Semester B.Sc Biochemistry and Industrial Microbiology (Restructured) Degree Examinations (Mercy chance- Up to 2008 Admn.& Supplementary2009 Admn.) held in October 2019,https://exams.keralauniversity.ac.in/Images/Result/2020/10/81196.pdf,27/10/2020
29,"FIFTH SEMESTER MCA (SUPPLEMENTARY) DEGREE EXAMINATION, JANUARY 2020 (2011 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/42059.pdf,27/10/2020
30,"FIRST SEMESTER MCA DEGREE (REGULAR & SUPPLEMENTARY)EXAMINATION, FEBRUARY 2020 (2015 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/36478.pdf,27/10/2020
31,"FOURTH SEMESTER INTEGRATED FIVE YEAR BA LLB /B.Com LLB /BBA LLB DEGREE EXAMINATION, NOVEMBER 2019",https://exams.keralauniversity.ac.in/Images/Result/2020/10/13470.pdf,27/10/2020
32,"FOURTH SEMESTER MCA DEGREE (SUPPLEMENTARY)EXAMINATION, JANUARY 2020 (2011 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/12858.pdf,27/10/2020
33,Second Semester B.Sc Biochemistry and Industrial Microbiology (Restructured) Degree Examinations (Mercy chance - Up to 2008 Admn.& Supplementary2009 Admn.) held in October 2019,https://exams.keralauniversity.ac.in/Images/Result/2020/10/76052.pdf,27/10/2020
34,"SECOND SEMESTER MCA DEGREE (SUPPLEMENTARY)EXAMINATION, JANUARY 2020 (2011 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/30870.pdf,27/10/2020
35,FIFTH & SIXTH SEMESTERFDP IN B.A. (SDE) UNDER CREDIT ANDSEMESTER SYSTEM (C S S) DEGREEEXAMINATION MARCH 2020(2017 ADMISSION),https://exams.keralauniversity.ac.in/Images/Result/2020/10/63290.pdf,27/10/2020
36,FIFTH & SIXTH SEMESTER FDP IN B.Sc MATHEMATICS (SDE) UNDER CREDIT AND SEMESTER SYSTEM (C S S) DEGREE EXAMINATION MARCH 2020 (2017 ADMISSION),https://exams.keralauniversity.ac.in/Images/Result/2020/10/23548.pdf,27/10/2020
37,FIFTH SEMESTER FDP IN B.Com (SDE) UNDER CREDIT AND SEMESTER SYSTEM (C S S) DEGREE EXAMINATION MARCH 2020 (2017 ADMISSION),https://exams.keralauniversity.ac.in/Images/Result/2020/10/82203.pdf,27/10/2020
38,"FINAL YEAR B.A (ANNUAL SCHEME)DEGREE EXAMINATIONSAPRIL 2020.(PART  III HISTORY, PHILOSOPHY, ENGLISH, HINDI,SANSKRIT (Special) and MALAYALAM MAIN ONLY)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/74141.pdf,27/10/2020
39,"SIXTH SEMESTER FDP IN B.Com (SDE) UNDER CREDIT AND SEMESTER SYSTEM (C S S) DEGREE EXAMINATION, MARCH 2020 (2017 ADMISSION)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/77908.pdf,27/10/2020
40,"FIRST, SECOND AND FINAL YEAR B.COM DEGREECOMPUTER APPLICATIONS (THREE MAIN SYSTEM)SUPPLEMENTARY EXAMINATION, FEBRUARY-2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/80122.pdf,27/10/2020
41,"SIXTH SEMESTER B.P.A DEGREE EXAMINATION, MARCH 2020(VOCAL/VEENA/VIOLIN/MRIDANGAM/DANCE)(2017 ADMISSION-REGULAR/ 2014-2016 ADMISSION-SUPPLEMENTARY/ 2013 ADMISSION- MERCY)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/94078.pdf,27/10/2020
42,"THIRD SEMESTER MCA DEGREE REGULAR & SUPPLEMENTARY EXAMINATION, JANUARY 2020(2015 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/26784.pdf,27/10/2020
43,"Final Year B.COM. Degree Examination, MARCH /APRIL 2020 (Annual Scheme)",https://exams.keralauniversity.ac.in/Images/Result/2020/09/51143.pdf,27/10/2020
44,"Fourth Semester B.Des Degree Examination, July 2019",https://exams.keralauniversity.ac.in/Images/Result/2020/09/50902.pdf,27/10/2020
45,"Second Semester B.Des Degree Examination, July 2019",https://exams.keralauniversity.ac.in/Images/Result/2020/09/20625.pdf,27/10/2020
46,"SECOND SEMESTER M.Ed (TWO YEAR PROGRAMME  2018 SCHEME SUPPLEMENTARY) DEGREE EXAMINATION, MARCH 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/09/94433.pdf,27/10/2020
47,"SECOND SEMESTER M.Ed(TWO YEAR PROGRAMME  2015 SCHEME SUPPLEMENTARY) DEGREE EXAMINATION, MARCH 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/09/20160.pdf,27/10/2020
48,"COMBINED FIRST & SECOND SEMESTER B.ARCH DEGREE SUPPLEMENTARY EXAMINATION, OCTOBER 2019 (2013 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/09/84370.pdf,27/10/2020
49,"FIFTH SEMESTER B.ARCH DEGREE SUPPLEMENTARYEXAMINATION, DECEMBER 2019 (2013 SCHEME)",https://exams.keralauniversity.ac.in/Images/Result/2020/09/78731.pdf,27/10/2020
id,course,url,date
0,"First & Second Semester M A Hindi Language &Literature (SDE2018 admission) and supplementary (SDE-2017 admission) Degree Examination, January/February 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/74927.pdf,27/10/2020
1,Second Semester B.Sc Electronics (Restructured) Degree Examination (2005 scheme) (Mercy chance- Up to 2008 Admn.& 2009 Admn Supplementary) held in November 2019,https://exams.keralauniversity.ac.in/Images/Result/2020/10/26730.pdf,27/10/2020
2,Second Semester BBA (Restructured) DegreeExamination (2007 scheme) (Mercy chance- Up to 2008 Admn.& Supplementary 2009) held in November 2019,https://exams.keralauniversity.ac.in/Images/Result/2020/10/69690.pdf,27/10/2020
3,"SEVENTH SEMESTER REGULAR (2013 SCHEME - 2016 ADMISSION CANDIDATES OF UNIVERSITY COLLEGE OF ENGINEERING, KARIAVATTOM) B.TECH DEGREE EXAMINATION, January 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/29705.pdf,27/10/2020
4,"FIRST SEMESTER B.Com (CBCS) DEGREE EXAMINATION,NOVEMBER 2019 (Regular 2019 Admission, Improvement  2018 Admission and Supplementary 2014, 2015, 2016 & 2017 Admission)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/40307.pdf,27/10/2020
5,"Releasing of Withheld results of Final Year B.A(Annual Scheme) Degree Examination, April 2020 (Supplementary & Part III Subsidiaries)",https://exams.keralauniversity.ac.in/Images/Result/2020/10/66012.pdf,27/10/2020
6,"Fifth Semester BASLP(CBCSS Stream) Degree Examination, January 2020",https://exams.keralauniversity.ac.in/Images/Result/2020/10/51263.pdf,27/10/2020
